site,site_ID,bottle,syringe,depth,survey_depth,temp_est,sal_est,date,sample,comments,lat_dec,long_dec,region,period
DodgerChannel,BMSC1,D9,1,6,5.5,NA,NA,2022-05-04,sample,thawed,48.832005,-125.197788,deer,fourth
DodgerChannel,BMSC1,D18,2,6,5.5,NA,NA,2022-05-04,sample,,48.832005,-125.197788,deer,fourth
DodgerChannel,BMSC1,D19,WP,6,5.5,NA,NA,2022-05-04,sample,,48.832005,-125.197788,deer,fourth
DodgerChannel,BMSC1,H01,WP,6,5.5,NA,NA,2022-05-04,matrix,,48.832005,-125.197788,deer,fourth
Ohiat,BMSC3,F6,1,6,6.5,NA,NA,2022-05-05,sample,thawed,48.856046,-125.183473,deer,fourth
Ohiat,BMSC3,F7,2,6,6.5,NA,NA,2022-05-05,sample,,48.856046,-125.183473,deer,fourth
Ohiat,BMSC3,F9,WP,6,6.5,NA,NA,2022-05-05,sample,,48.856046,-125.183473,deer,fourth
Ohiat,BMSC3,F19,WP,6,6.5,NA,NA,2022-05-05,matrix,,48.856046,-125.183473,deer,fourth
Taylor,BMSC5,H02,1,6,6,NA,NA,2022-05-04,sample,,48.827392,-125.196806,deer,fourth
Taylor,BMSC5,H03,2,6,6,NA,NA,2022-05-04,sample,thawed,48.827392,-125.196806,deer,fourth
Taylor,BMSC5,H04,WP,6,6,NA,NA,2022-05-04,sample,,48.827392,-125.196806,deer,fourth
Taylor,BMSC5,H05,WP,6,6,NA,NA,2022-05-04,matrix,,48.827392,-125.196806,deer,fourth
Scotts,BMSC9,G02,1,5.5,6.5,NA,NA,2022-05-02,sample,,48.834311,-125.148126,main,fourth
Scotts,BMSC9,G03,2,6.5,6.5,NA,NA,2022-05-02,sample,,48.834311,-125.148126,main,fourth
Scotts,BMSC9,G05,WP,6,6.5,NA,NA,2022-05-02,sample,,48.834311,-125.148126,main,fourth
Scotts,BMSC9,G07,WP,6,6.5,NA,NA,2022-05-02,matrix,,48.834311,-125.148126,main,fourth
Ross,BMSC10,G04,1,5,5,NA,NA,2022-05-05,sample,thawed,48.870574,-125.160794,deer,fourth
Ross,BMSC10,G06,2,5,5,NA,NA,2022-05-05,sample,thawed,48.870574,-125.160794,deer,fourth
Ross,BMSC10,G13,WP,5,5,NA,NA,2022-05-05,sample,,48.870574,-125.160794,deer,fourth
Ross,BMSC10,G14,WP,5,5,NA,NA,2022-05-05,matrix,,48.870574,-125.160794,deer,fourth
WizardS,BMSC11,G08,1,5,5.5,NA,NA,2022-05-03,sample,,48.857917,-125.158671,deer,fourth
WizardS,BMSC11,G09,2,5,5.5,NA,NA,2022-05-03,sample,,48.857917,-125.158671,deer,fourth
WizardS,BMSC11,G01,WP,5,5.5,NA,NA,2022-05-03,sample,,48.857917,-125.158671,deer,fourth
WizardS,BMSC11,G11,WP,5,5.5,NA,NA,2022-05-03,matrix,,48.857917,-125.158671,deer,fourth
WizardN,BMSC12,F26,1,5.5,5,NA,NA,2022-05-03,sample,,48.858753,-125.160144,deer,fourth
WizardN,BMSC12,F27,2,5.5,5,NA,NA,2022-05-03,sample,,48.858753,-125.160144,deer,fourth
WizardN,BMSC12,F28,WP,5.5,5,NA,NA,2022-05-03,sample,,48.858753,-125.160144,deer,fourth
WizardN,BMSC12,F29,WP,5.5,5,NA,NA,2022-05-03,matrix,,48.858753,-125.160144,deer,fourth
EdKingSWPyramid,BMSC19,F17,1,8.5,6.5,NA,NA,2022-04-29,sample,,48.831861,-125.22039,deer,fourth
EdKingSWPyramid,BMSC19,F18,2,8.5,6.5,NA,NA,2022-04-29,sample,,48.831861,-125.22039,deer,fourth
EdKingSWPyramid,BMSC19,F20,WP,8.5,6.5,NA,NA,2022-04-29,sample,,48.831861,-125.22039,deer,fourth
EdKingSWPyramid,BMSC19,F21,WP,8.5,6.5,NA,NA,2022-04-29,matrix,,48.831861,-125.22039,deer,fourth
EdKingE,BMSC20,F22,1,7,6.5,NA,NA,2022-04-29,sample,,48.836568,-125.212896,deer,fourth
EdKingE,BMSC20,F23,2,7,6.5,NA,NA,2022-04-29,sample,,48.836568,-125.212896,deer,fourth
EdKingE,BMSC20,F24,WP,7,6.5,NA,NA,2022-04-29,sample,,48.836568,-125.212896,deer,fourth
EdKingE,BMSC20,F25,WP,7,6.5,NA,NA,2022-04-29,matrix,,48.836568,-125.212896,deer,fourth
AguilarPoint,BMSC23,F10,1,6,6,NA,NA,2022-05-06,sample,,48.837738,-125.144413,main,fourth
AguilarPoint,BMSC23,G10,2,6,6,NA,NA,2022-05-06,sample,,48.837738,-125.144413,main,fourth
AguilarPoint,BMSC23,G12,WP,6,6,NA,NA,2022-05-06,sample,,48.837738,-125.144413,main,fourth
AguilarPoint,BMSC23,H10,WP,6,6,NA,NA,2022-05-06,matrix,,48.837738,-125.144413,main,fourth
